hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,bookingID,total_guests,total_stay,lead_time_group,Revenue,guest_type,is_loyal,has_changes,is_waiting,season,high_intent,price_per_person
"Heidelberg Marriott Hotel Heidelberg, Germany",0,18,2019,July,30,27,0,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,169.0,0,1,Check-Out,2019-07-30,11,2.0,3,short_term,507.0,couple,no,0,0,peak,0,84.5
"W New York – Times Square New York, NY",0,3,2019,February,8,24,0,1,1,0.0,0,SC,DEU,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,0,Transient,78.0,0,0,Check-Out,2019-02-25,12,1.0,1,last_minute,78.0,solo,no,0,0,normal,0,78.0
"Sheraton Grand Rio Hotel & Resort Rio de Janeiro, Brazil",1,101,2018,June,27,27,1,5,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,14.0,0,Transient,140.0,0,0,Canceled,2018-05-06,13,1.0,6,long_term,840.0,solo,no,0,0,peak,0,140.0
"Renaissance Hamburg Hotel Hamburg, Germany",0,83,2018,April,17,20,2,5,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,27.0,0,Transient,80.75,0,0,Check-Out,2018-04-27,14,2.0,7,medium_term,565.25,couple,no,0,0,normal,0,40.375
"The Ritz-Carlton, Berlin Berlin, Germany",0,63,2017,September,36,1,0,4,2,1.0,0,HB,PRT,Direct,Direct,0,0,0,A,C,0,No Deposit,14.0,0,Transient,142.5,0,1,Check-Out,2017-09-05,15,3.0,4,medium_term,570.0,family/group,no,0,0,normal,0,47.5
"Sheraton Lima Hotel & Convention Center Lima, Peru",1,122,2019,August,33,14,1,2,3,0.0,0,BB,RUS,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,195.0,0,0,Canceled,2019-04-18,16,3.0,3,long_term,585.0,family/group,no,0,0,peak,0,65.0
"Courtyard Las Vegas Convention Center Las Vegas, NV ",0,142,2018,August,35,24,0,3,2,0.0,0,BB,NOR,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,0,Transient,108.3,0,0,Check-Out,2018-08-27,17,2.0,3,long_term,324.9,couple,no,1,0,peak,0,54.15
"Newark Liberty International Airport Courtyard Newark, NJ",0,52,2018,September,38,13,0,2,2,0.0,0,BB,CN,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0,Transient,152.1,0,1,Check-Out,2018-09-15,18,2.0,2,medium_term,304.2,couple,no,0,0,normal,0,76.05
"Indianapolis Airport Courtyard Indianapolis, IN",1,112,2018,December,50,6,0,4,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,97.75,0,1,Canceled,2018-10-31,19,2.0,4,long_term,391.0,couple,no,0,0,holiday,0,48.875
"Treasure Beach, Barbados Barbados",0,102,2019,April,17,24,1,3,2,0.0,0,BB,IRL,Groups,TA/TO,0,0,0,A,A,0,No Deposit,14.0,0,Transient-Party,100.0,0,0,Check-Out,2019-04-28,20,2.0,4,long_term,400.0,couple,no,0,0,normal,0,50.0
"Cape Town Marriott Hotel Crystal Towers Cape Town, South Africa",0,36,2017,August,32,7,0,2,2,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,0,Transient-Party,62.0,0,0,Check-Out,2017-08-09,21,2.0,2,medium_term,124.0,couple,no,0,0,peak,0,31.0
"The St. Regis Osaka Osaka, Japan",1,234,2019,June,23,9,2,5,3,0.0,0,HB,IRL,Direct,Direct,0,0,0,E,E,1,No Deposit,250.0,0,Transient,171.39,0,1,Canceled,2018-11-21,22,3.0,7,long_term,1199.73,family/group,no,1,0,peak,0,57.129999999999995
"Chicago O'Hare Courtyard Des Plaines, IL",0,52,2019,March,11,12,2,2,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,100.3,0,1,Check-Out,2019-03-16,23,2.0,4,medium_term,401.2,couple,no,0,0,normal,0,50.15
"Renaissance Hamburg Hotel Hamburg, Germany",1,247,2019,June,22,2,1,2,2,0.0,0,HB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,0,Transient,79.66,0,0,Canceled,2018-09-29,24,2.0,3,long_term,238.98,couple,no,0,0,peak,0,39.83
"Protea Hotel by Marriott O.R. Tambo Airport Johannesburg, South Africa",0,1,2018,November,46,8,0,4,2,0.0,0,SC,AUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,159.38,0,2,Check-Out,2018-11-12,25,2.0,4,last_minute,637.52,couple,no,0,0,normal,1,79.69
"The St. Regis Osaka Osaka, Japan",1,124,2019,April,15,9,2,5,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,492.0,0,Transient,80.0,0,0,Canceled,2019-02-28,26,2.0,7,long_term,560.0,couple,no,0,0,normal,0,40.0
"Residence Inn Rio de Janeiro Barra da Tijuca Barra da Tijuca, Brazil",0,6,2018,January,3,13,0,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,184.0,0,Transient,37.0,0,0,Check-Out,2018-01-14,27,1.0,1,last_minute,37.0,solo,no,0,0,normal,0,37.0
"Berlin Marriott Hotel Berlin, Germany",0,165,2018,May,22,22,1,0,2,0.0,0,BB,CHE,Offline TA/TO,TA/TO,0,0,0,D,F,0,No Deposit,251.0,0,Transient,59.0,0,1,Check-Out,2018-05-23,28,2.0,1,long_term,59.0,couple,no,0,0,normal,0,29.5
"The Westin Peachtree Plaza, Atlanta Atlanta, GA ",0,1,2018,July,30,19,0,3,2,2.0,0,BB,ESP,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,0,Transient,249.0,0,0,Check-Out,2018-07-22,29,4.0,3,last_minute,747.0,family/group,no,0,0,peak,0,62.25
"Hotel Alfonso XIII, a Luxury Collection Hotel, Seville Seville, Spain",1,55,2018,July,28,7,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,14.0,0,Transient-Party,79.0,0,0,Canceled,2018-07-06,30,1.0,1,medium_term,79.0,solo,no,0,0,peak,0,79.0
"Treasure Beach, Barbados Barbados",0,0,2018,June,25,13,1,3,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,7.0,0,Transient,150.92,0,1,Check-Out,2018-06-17,31,2.0,4,last_minute,603.68,couple,no,0,0,peak,0,75.46
"Renaissance New York Times Square Hotel New York, NY",0,164,2018,November,45,4,2,3,2,0.0,0,BB,NLD,Direct,Direct,0,0,0,A,A,1,No Deposit,250.0,0,Transient,43.8,1,0,Check-Out,2018-11-09,32,2.0,5,long_term,219.0,couple,no,1,0,normal,0,21.9
"Courtyard Las Vegas Convention Center Las Vegas, NV ",1,117,2018,August,33,11,1,3,2,2.0,0,BB,NOR,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,9.0,0,Transient,186.3,0,0,Canceled,2018-04-17,33,4.0,4,long_term,745.2,family/group,no,1,0,peak,0,46.575
"Frankfurt Marriott Hotel Frankfurt, Germany",0,39,2018,July,31,25,1,0,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,14.0,0,Transient,67.0,1,0,Check-Out,2018-07-26,34,1.0,1,medium_term,67.0,solo,no,0,0,peak,0,67.0
"Las Vegas Marriott Las Vegas, NV ",0,8,2019,April,16,20,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,14.0,0,Transient,45.0,0,0,Check-Out,2019-04-21,35,1.0,1,short_term,45.0,solo,no,0,0,normal,0,45.0
"Baton Rouge Acadian Centre/LSU Area Courtyard Baton Rouge, LA",1,93,2019,April,14,6,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,170.0,0,Transient,95.0,0,0,Canceled,2019-01-03,36,2.0,3,long_term,285.0,couple,no,0,0,normal,0,47.5
"Sheraton Grand Rio Hotel & Resort Rio de Janeiro, Brazil",0,39,2018,August,36,30,0,4,3,0.0,0,HB,PRT,Direct,Direct,0,0,0,A,D,1,No Deposit,14.0,0,Transient,161.0,0,2,Check-Out,2018-09-03,37,3.0,4,medium_term,644.0,family/group,no,1,0,peak,1,53.666666666666664
"Cape Town Marriott Hotel Crystal Towers Cape Town, South Africa",1,283,2017,July,31,27,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,0,Transient-Party,62.0,0,0,Canceled,2017-06-29,38,2.0,2,long_term,124.0,couple,no,0,0,peak,0,31.0
"Albuquerque Airport Courtyard Albuquerque, NM",0,60,2017,September,37,12,2,2,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,11.0,0,Transient,71.4,0,0,Check-Out,2017-09-16,39,2.0,4,medium_term,285.6,couple,no,0,0,normal,0,35.7
"Residence Inn Las Vegas Convention Center Las Vegas, NV ",0,8,2018,April,17,20,0,1,1,0.0,0,BB,FRA,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,0,Transient,95.2,0,0,Check-Out,2018-04-21,40,1.0,1,short_term,95.2,solo,no,0,0,normal,0,95.2
"Tamarind, Barbados Barbados",1,360,2019,August,34,20,2,4,3,1.0,0,HB,PRT,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240.0,0,Transient,343.0,0,0,Canceled,2018-09-24,41,4.0,6,long_term,2058.0,family/group,no,0,0,peak,0,85.75
"Las Vegas Marriott Las Vegas, NV ",1,161,2019,June,25,24,2,1,3,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,147.42,0,0,Canceled,2019-02-15,42,3.0,3,long_term,442.26,family/group,no,0,0,peak,0,49.13999999999999
"Courtyard by Marriott Rio de Janeiro Barra da Tijuca Barra da Tijuca, Brazil",0,2,2017,December,51,17,0,3,2,0.0,0,BB,TUR,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,0,Transient,54.0,1,0,Check-Out,2017-12-20,43,2.0,3,last_minute,162.0,couple,no,0,0,holiday,0,27.0
"W London – Leicester Square London, United Kingdom",0,1,2017,August,33,10,1,1,0,3.0,0,BB,PRT,Direct,Direct,0,0,0,B,B,1,No Deposit,14.0,0,Transient-Party,9.0,0,0,Check-Out,2017-08-12,44,3.0,2,last_minute,18.0,family/group,no,1,0,peak,0,3.0
"Sheraton Diana Majestic, Milan Milan, Italy",1,181,2019,May,21,25,0,2,2,0.0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,14.0,0,Transient,130.0,0,0,Canceled,2018-11-25,45,2.0,2,long_term,260.0,couple,no,0,0,normal,0,65.0
"Las Vegas Marriott Las Vegas, NV ",0,320,2019,August,32,12,1,1,2,1.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,123.3,0,3,Check-Out,2019-08-14,46,3.0,2,long_term,246.6,family/group,no,0,0,peak,1,41.1
"Courtyard by Marriott Rio de Janeiro Barra da Tijuca Barra da Tijuca, Brazil",0,16,2018,December,53,29,0,2,2,0.0,0,BB,BRA,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,0,Transient,140.0,0,0,Check-Out,2018-12-31,47,2.0,2,short_term,280.0,couple,no,0,0,holiday,0,70.0
"Greensboro Courtyard Greensboro, NC",1,13,2017,December,53,29,2,5,0,2.0,0,BB,BRA,Direct,Direct,0,1,0,B,B,1,No Deposit,14.0,0,Transient-Party,7.8,0,1,Canceled,2017-12-23,48,2.0,7,short_term,54.6,couple,no,1,0,holiday,0,3.9
"Courtyard by Marriott Rio de Janeiro Barra da Tijuca Barra da Tijuca, Brazil",0,2,2017,December,50,7,2,5,1,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,115.0,0,Transient,34.2,0,0,Check-Out,2017-12-14,49,1.0,7,last_minute,239.40000000000003,solo,no,0,0,holiday,0,34.2
"Sheraton Diana Majestic, Milan Milan, Italy",0,115,2019,April,13,1,2,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,117.0,0,1,Check-Out,2019-04-04,50,2.0,3,long_term,351.0,couple,no,0,0,normal,0,58.5
"Fort Worth University Drive Courtyard Fort Worth, TX",0,93,2018,August,32,2,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient-Party,189.0,0,0,Check-Out,2018-08-06,51,2.0,4,long_term,756.0,couple,no,0,0,peak,0,94.5
"Protea Hotel by Marriott Midrand Midrand, South Africa",0,1,2019,January,2,10,0,3,2,0.0,0,BB,KOR,Direct,Direct,0,0,0,A,A,1,No Deposit,14.0,0,Transient,80.0,0,0,Check-Out,2019-01-13,52,2.0,3,last_minute,240.0,couple,no,1,0,normal,0,40.0
"Sheraton Diana Majestic, Milan Milan, Italy",1,121,2019,July,29,22,3,6,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,394.0,0,Transient,80.1,0,2,Canceled,2019-07-07,53,2.0,9,long_term,720.9,couple,no,0,0,peak,1,40.05
"Protea Hotel Fire & Ice! by Marriott Johannesburg Melrose Arch Johannesburg, South Africa",0,23,2019,June,23,10,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,154.0,1,1,Check-Out,2019-06-11,54,2.0,1,short_term,154.0,couple,no,0,0,peak,0,77.0
"Grosvenor House, A JW Marriott Hotel London, United Kingdom",1,278,2017,July,30,22,0,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,1,Non Refund,1.0,0,Transient-Party,60.0,0,0,Canceled,2017-07-02,55,1.0,2,long_term,120.0,solo,no,1,0,peak,0,60.0
"Sacramento Airport Natomas Courtyard Sacramento, CA",0,162,2019,July,27,5,0,4,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,152.1,0,0,Check-Out,2019-07-09,56,3.0,4,long_term,608.4,family/group,no,0,0,peak,0,50.699999999999996
"Tamarind, Barbados Barbados",0,0,2019,April,17,27,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,1,A,D,0,No Deposit,14.0,0,Transient-Party,45.0,0,0,Check-Out,2019-04-28,57,1.0,1,last_minute,45.0,solo,yes,0,0,normal,0,45.0
"Anaheim Marriott Anaheim, CA",0,176,2019,August,34,24,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,243.0,0,Contract,104.85,0,1,Check-Out,2019-08-31,58,2.0,7,long_term,733.9499999999999,couple,no,0,0,peak,0,52.425
"Residence Inn Las Vegas Convention Center Las Vegas, NV ",1,300,2017,August,33,13,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,0,Contract,62.0,0,0,Canceled,2017-01-01,59,2.0,2,long_term,124.0,couple,no,0,0,peak,0,31.0
"Residence Inn Rio de Janeiro Barra da Tijuca Barra da Tijuca, Brazil",0,177,2018,June,26,23,4,10,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,0,Contract,68.0,0,0,Check-Out,2018-07-07,60,2.0,14,long_term,952.0,couple,no,0,0,peak,0,34.0
"Heidelberg Marriott Hotel Heidelberg, Germany",0,405,2019,July,27,4,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,0,Transient-Party,114.4,0,0,Check-Out,2019-07-06,61,2.0,2,long_term,228.8,couple,no,0,0,peak,0,57.2
"Sheraton Lima Hotel & Convention Center Lima, Peru",0,23,2017,September,37,7,3,7,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,0,Transient,95.98,0,0,Check-Out,2017-09-17,62,2.0,10,short_term,959.8000000000001,couple,no,0,0,normal,0,47.99
"Sheraton Grand Rio Hotel & Resort Rio de Janeiro, Brazil",1,113,2018,February,9,25,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,19.0,44,Transient,75.0,0,0,Canceled,2017-12-18,63,2.0,3,long_term,225.0,couple,no,0,1,normal,0,37.5
"Orlando International Drive/Convention Center Courtyard Orlando, FL",1,170,2017,October,41,4,4,8,2,0.0,0,BB,CN,Groups,TA/TO,0,0,0,A,A,0,Non Refund,15.0,0,Transient,44.5,0,0,Canceled,2017-07-17,64,2.0,12,long_term,534.0,couple,no,0,0,normal,0,22.25
"The St. Regis Osaka Osaka, Japan",1,124,2019,April,15,9,2,5,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,C,1,Non Refund,492.0,0,Transient,80.0,0,0,Canceled,2019-02-28,65,2.0,7,long_term,560.0,couple,no,1,0,normal,0,40.0
"Louisville East Courtyard Louisville, KY",0,6,2017,September,37,10,1,3,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Contract,116.25,0,2,Check-Out,2017-09-14,66,2.0,4,last_minute,465.0,couple,no,0,0,normal,1,58.125
"Courtyard by Marriott Rio de Janeiro Barra da Tijuca Barra da Tijuca, Brazil",1,22,2018,April,18,30,2,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0,Transient,100.0,0,0,Canceled,2018-04-09,67,2.0,4,short_term,400.0,couple,no,0,0,normal,0,50.0
"Newark Liberty International Airport Courtyard Newark, NJ",0,15,2018,July,28,5,0,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,151.0,0,1,Check-Out,2018-07-08,68,2.0,3,short_term,453.0,couple,no,0,0,peak,0,75.5
"Hotel Maria Cristina, San Sebastian San Sebastian, Spain",0,4,2018,January,4,20,0,2,2,0.0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,314.0,0,Transient,35.0,1,1,Check-Out,2018-01-22,69,2.0,2,last_minute,70.0,couple,no,0,0,normal,0,17.5
"Sacramento Airport Natomas Courtyard Sacramento, CA",1,150,2018,January,1,2,2,1,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,21.0,91,Transient,101.0,0,0,Canceled,2017-11-04,70,2.0,3,long_term,303.0,couple,no,0,1,normal,0,50.5
"Baltimore BWI Airport Courtyard Linthicum, MD",0,42,2018,June,25,13,1,1,1,0.0,0,BB,NLD,Corporate,Corporate,0,0,0,A,A,1,No Deposit,14.0,0,Transient,89.0,0,0,Check-Out,2018-06-15,71,1.0,2,medium_term,178.0,solo,no,1,0,peak,0,89.0
"San Diego Sorrento Valley Courtyard San Diego, CA",0,2,2018,October,41,6,0,1,1,0.0,0,BB,PRT,Complementary,Corporate,1,2,7,A,G,0,No Deposit,14.0,0,Transient,0.0,0,3,Check-Out,2018-10-07,72,1.0,1,last_minute,0.0,solo,yes,0,0,normal,1,0.0
"The Ritz-Carlton, Berlin Berlin, Germany",0,2,2018,August,33,8,1,0,2,0.0,0,BB,IRL,Direct,Direct,0,0,0,G,G,0,No Deposit,250.0,0,Transient,335.0,0,0,Check-Out,2018-08-09,73,2.0,1,last_minute,335.0,couple,no,0,0,peak,0,167.5
"Greensboro Courtyard Greensboro, NC",1,148,2017,December,53,31,1,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,98,Transient,77.5,0,0,Canceled,2017-11-11,74,2.0,4,long_term,310.0,couple,no,0,1,holiday,0,38.75
"Courtyard by Marriott Toulouse Airport Toulouse, France",0,0,2019,January,4,27,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,14.0,0,Transient,76.0,0,0,Check-Out,2019-01-28,75,2.0,1,last_minute,76.0,couple,no,0,0,normal,0,38.0
"Indianapolis Airport Courtyard Indianapolis, IN",0,59,2017,December,52,24,0,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,14.0,0,Transient-Party,51.0,1,0,Check-Out,2017-12-27,76,2.0,3,medium_term,153.0,couple,no,1,0,holiday,0,25.5
"Louisville East Courtyard Louisville, KY",0,27,2019,April,16,20,3,8,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,0,Contract,50.85,0,0,Check-Out,2019-05-01,77,2.0,11,short_term,559.35,couple,no,0,0,normal,0,25.425
"W New York – Union Square New York, NY",1,112,2019,March,11,15,0,3,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,14.0,0,Transient-Party,40.0,0,0,Canceled,2019-02-16,78,1.0,3,long_term,120.0,solo,no,0,0,normal,0,40.0
"Protea Hotel by Marriott O.R. Tambo Airport Johannesburg, South Africa",0,396,2019,June,26,25,2,0,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,0,Transient-Party,122.4,0,1,Check-Out,2019-06-27,79,2.0,2,long_term,244.8,couple,no,0,0,peak,0,61.2
"The Westin Peachtree Plaza, Atlanta Atlanta, GA ",0,169,2018,July,30,21,2,5,2,0.0,0,BB,PLW,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,136.29,0,2,Check-Out,2018-07-28,80,2.0,7,long_term,954.03,couple,no,0,0,peak,1,68.145
"W London – Leicester Square London, United Kingdom",1,144,2018,September,38,12,1,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,126.9,0,3,Canceled,2018-08-24,81,2.0,4,long_term,507.6,couple,no,0,0,normal,1,63.45
"Chicago O'Hare Courtyard Des Plaines, IL",0,99,2018,June,27,29,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,114.3,0,1,Check-Out,2018-07-02,82,2.0,3,long_term,342.9,couple,no,0,0,peak,0,57.15
"Treasure Beach, Barbados Barbados",0,0,2019,April,17,26,0,2,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,2,A,B,0,No Deposit,14.0,0,Transient,45.0,0,0,Check-Out,2019-04-28,83,1.0,2,last_minute,90.0,solo,no,0,0,normal,0,45.0
"St. Louis Downtown West Courtyard St. Louis, MO",1,108,2019,May,20,19,0,1,2,0.0,0,SC,ZAF,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,126.0,0,0,Canceled,2019-05-12,84,2.0,1,long_term,126.0,couple,no,0,0,normal,0,63.0
"Spokane Downtown at the Convention Center Courtyard Spokane, WA",0,181,2019,March,9,1,6,19,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,440.0,0,Transient-Party,55.8,0,1,Check-Out,2019-03-26,85,2.0,25,long_term,1395.0,couple,no,0,0,normal,0,27.9
"Des Moines West/Clive Courtyard Clive, IA",0,4,2018,January,3,15,0,2,2,1.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,196.0,0,Transient,30.0,0,1,Check-Out,2018-01-17,86,3.0,2,last_minute,60.0,family/group,no,0,0,normal,0,10.0
"Hotel Maria Cristina, San Sebastian San Sebastian, Spain",0,8,2019,June,26,28,0,1,1,0.0,0,SC,POL,Online TA,GDS,0,0,0,A,A,0,No Deposit,195.0,0,Transient,159.0,0,0,Check-Out,2019-06-29,87,1.0,1,short_term,159.0,solo,no,0,0,peak,0,159.0
